formula,target
Ca1 Hg2,0
Co1 Na0.6 O2,1
Ca0.01 Cu1 Ga0.99 O2,1
O1.7 Y0.16 Zr0.84,1
I8 P19.29 Sn24,1
Pb2 Pr1,0
H0.87 Br2 Ce1,1
Co1 Ga5 Ho1,0
Ba0.98 O2.75 Ti1,1
As4 Cu11.9 Fe0.1 S13,1
Cl15 Co1 Zr6,0
Co1 La4 Mg1,0
Ge4 Tm3,0
Al8 Dy2 Fe9,1
Ge3 La4 S12,0
Co0.768 F2.4 O25.6 P6 Sr10,1
Ca2 S4 Si1,0
Ba2 Ga1 La1 Se5,0
Bi1.946 O6.825 Rh2,1
Ba1 Bi3 Br1 Nb2 O11 Pb1,1
Al1.611 Cr0.244 Mg1.145 O4,1
Ga10 Hf11,0
Cs1 Mo1 N3 O11,0
Al2 Gd3,0
Fe6 Mn6 Tb1,1
Co1 Cr2 Se4,1
Si1 Ta2 V3,1
Rb2 Se2,0
Cr0.014 O7 Ti1.986 Y2,1
B8 Mg1 Nb2 Nd6 O26 S1,0
Ba1 O4 Y2,0
Co1.26 O6 Te1 Zn1.74,1
Be1 Li1 N1,0
Cs3 Mo12 O40 P1,0
Ho5 Tl3,0
Gd0.1 Pd2 Sn1 Y0.9,1
Pt2 Si1 Tm1,0
Al1 Ce0.5 Th1.5,1
Bi2 La1 Li3,0
Cu0.68 Li0.32 Nb3 O8,1
Co0.03 Ni0.97 O3 Sm1,1
Ga16 Hf6 Ni7,0
Au4.3 Pr1 Sn1.77,1
K2 Pr1.67 Sb4.33 Se12,1
Co6 Er1 Ge6,0
Fe1.25 Ni0.75 O6.54 Sr2.7 Y0.3,1
Co1 Ga0.7 Mn0.3,1
Cs3 Gd1 Ge3 O9,1
Be2 Cr2 Nd6 S14,0
Al0.09 F1.88 Pb0.91,1
Nb1.5 O12 P3 Sb0.5,1
Ga3.01 O12 Sc2.19 Y2.74,1
Ag1.6 Li3.2 Si3.2,1
Ho2 Mg1 Se4,0
Ba1 Ho0.15 O2.925 Ti0.85,1
B4.026 Mo2,1
Co0.5 Ni0.5 S1 Sb1,1
Cu1 Pb1 Tb1,0
Ca10 Cu24 O41 Pr4,0
H10 Ca1 N2 O9 S2,0
As1 K1 O3,0
Bi2 Pb2 Se5,0
Al0.69 Au3.31 Ca1,1
Au0.3 V0.7,1
F1 Na11 Nb2 O25 P2 Si4 Ti1,1
Ge2 Mg1 Na4 Se6,0
Cr0.5 N1 Ti0.5,1
Ga0.05 Pb0.95 Te1,1
F8 Na2 U1,0
Mn23 Pr5.1 Tb0.9,1
H1 Sb3 Sm5,0
H4 Ag0.43 O7 P1 V1,1
Eu0.197 La2.853 Li6.288 O11.628 Zr1.908,1
La1 Mg2 Ni9,0
Ca0.85 F2.3 Th0.15,1
Ga4 Se8,0
Cr4 Ta1 Zr1,1
Eu1 Ni2 P4,0
Ba0.01 Ge0.01 La0.99 Nb0.99 O4,1
Fe1.8 In0.2 Mg1 O4,1
Fe2 O16 Rb2 Ti6,1
N0.88 Ti0.88,1
Bi0.97 Br0.9 O3 Te1,1
Sb1 V1,0
C1 Mo3 Re2,0
Mo4 Na1 O6,0
Eu5 O15 Ta4,0
Cr1 Na2 O4,0
S3 Ti8,0
Cl8 Sc5,0
Br6.05 I1.95 P19.1 Sn24,1
C3 Mo2 W2,1
 Ca1.57 Fe0.09 Hf0.08 Mg0.02 Mn0.98 Na0.17 O16 Sb1.37 Ti0.59 Zr4.13,1
Cu0.2 Fe2 Mg0.8 O4,1
Al7 Co6 Nd7,0
H18 Cl4 K1 N6 O8 Ru1,0
B2 O25 Pb6 Si8,1
Eu1 Na1 O4 Ti1,0
Nd1 O6.81 Pb1 Ru2,1
F13 K3 Na1 Si1 Ta1,0
Ba2 Mn1.79 Pr0.88 S5,1
Al2 Cl3 K6 Na3 O26 Si8 Ti2,1
C1 Cl1 Hg1 N1 S1,0
In1.8 Sb0.2 Se3,1
Co0.5 La2 Ni0.5 O4.147,1
Cs0.33 O3 W1,0
Ge1 Mn1 Te2,1
Ge1 K2 O3,0
O7 P2 Pt1,0
Be8 Na5 O11 Rb1,0
La0.15 Na0.15 O3 Sr0.7 Ti1,1
Al0.08 O4.92 Ta1.92,1
Ca1 Mg1 O4 Si1,0
Ga2 Li0.74 Nd0.26,1
Ca1 O3 Te1,1
Ho1 Ru2 Si2,1
K4 S6 Sn2,0
C0.4 B0.6 Fe3,1
H2 Mo0.15 O8 V2.85,1
Cs1 O4 P1 Pb1,0
As2 K3 O14 V3,0
Al1.699 Cr0.03 Mg1.271 O4,1
C1.32 Si9 Tb15,1
As2 Cu2 Eu1,1
Ba0.4 Bi0.6 Co0.6 O3 Ti0.4,1
Mg0.65 Sc0.35,1
Ba1 Cu2 Fe2 O5 S2 Sr2,1
Mn12 Tb1,0
Al4 Li9 Sn5,0
Fe0.14 Pt0.86,1
Cu1 Ho0.4 Nd1.2 O3.846 Sr0.4,1
Eu4 K2 Na2 O13 Ta2,0
Na7 S12 Sb5 Zn1,1
O1 V3 Zr3,0
Co1 La1 O4 Sr1,1
Cl3 K1 Ni1,0
C0.7 N0.3 Ti1,1
O4 Ti0.8 Zn2 Zr0.2,1
Li1 Mg0.075 Ni0.9259 O2,1
Cu9 In3 Pr2,1
Cs1 O5 P0.94 Ti1.06,1
Co0.3 Fe0.35 Mn1 Ni0.35 P1,1
Na1.2 O8 V3,1
H2 Cd1 O8 S2,0
Mn1 Pt1,0
Ag7.4 Al9.78 Ce1.61,1
Ge2.2 Sb4.8 Te10,1
Na9 O35 V14,0
Cu0.52 In1.48 Pr1,1
B0.5 Er1 Pd3,1
Fe1 O2.86 Sm0.2 Sr0.8,1
Hf3 N2,1
Mo3 Np2 Si4,0
Br5 La2,0
Cu2 Ge1 K2 S4,0
Cu2 Nd1 O7 Sr2 Tl1,1
Cr0.09 Ni0.91,1
La5 O5 Se7 V3,0
Na0.5 O3 Tb0.5 Ti1,1
La2.1 N11 Si6 Y0.9,1
Li2.33 P1 Si0.17,1
Ca1.952 Cl2 Cu1 O2,1
Bi5 La3 Ti1,0
 H1 Al0.03 Ca1.819 Fe0.87 Mn0.36 Na0.181 O15 Sc0.69 Si5 Sn0.05,1
Ag51 Er14,1
Ni17 Tm2,0
As4 Cu1 Hg5 S12 Tl1,1
Cs4 Se13.17 Te9.83,1
H0.53 In1 La1 Pt1,1
Nb0.4 Re0.6,1
Li6 O6 Te1,0
Cu1 Na1 O2,0
Fe2 Pu1 Si2,0
C7 H12 Fe1 N8 O1,1
Ca1 Ni1 O6 Si2,0
C2 Al6 N2 Na8 O24 S2 Si6,1
Al2 Au1,0
H1 Na1 O7 P2 Zn1,0
Bi1 In1 O3,0
H2 Cl1 Cu1 K1 O6 Se2,0
B6 Fe2 Gd5,0
Co2 P1,0
Fe4 Si9 Tm2,1
Mg1.66 O5 Ta1.34,1
Co16.6 Sm1 Y1 Zr0.4,1
B1 Fe14 Ho2,0
C2 Cl2.964 Gd4 I3.036,1
C14 Co6 O14 S4,0
O7 Sb1 Tb3,0
Fe16.874 N2.899 Sm1.924,1
Ca0.1 Fe1 Nd0.9 O3,1
O2 Si0.9433 Ti0.025,1
Fe0.49 Nb1 S2,1
Cl6 Rb2 Ti1,0
H20 Ba2 Cl10 O11 Ru2,0
I1 K1 Ni1 O6,0
La0.93 Mn0.5 Ni0.5 O3,1
Fe2.016 Mg0.504 O4 Zn0.504,1
Fe10 Mo2 N0.49 Nd1,1
H12 N2 O10 S2 Sr1,1
Al3 Au0.4 Cu0.6 La1,1
K2 O4 Si1 Zn1,0
Al11.5 Ca0.5 Mg0.5 Nd0.5 O19,1
Co1 Si3 Tb1,0
Re3 S6 Tl2,0
Al0.47 Ca0.833 Fe3.696 O7,1
Gd3.83 Ge4 Li0.48 Mg0.69,1
Ag4 Br1 Cl2 Hg5 I1 S5,1
Ce0.818 Gd0.182 O1.909,1
Pr0.95 Th0.05,1
Ho1 Rh2,0
Cu1.82 O4 Y1,1
Cd3 O10 Se3,0
C12 H36 Cl12 O6 S6 Tc3,0
La1.008 Mg0.2361 Sn2.7561,1
Cs0.06 Fe1 Ge1 O4 Rb0.94,1
Cu0.5 Gd1 Si1 Zn0.5,1
Bi2 Se8 Sn0.96 Sr3,1
Ni2 Sm0.937,1
Cu1 Gd2 Ge4,1
Ba3 Nb6 O26 Si4,0
Fe1 In2 S2 Se2,1
C2 Al1 Ta0.27 Ti2.73,1
Pr2 Si3,1
Mg5 Na2 O30 Si12,1
Ca0.9 Cu2 O6.996 Pb0.5 Sr2 Tl0.5664,1
Ca2 O9 Te2 U1,0
Fe1 Ge2 Li0.3 Na0.7 O6,1
Ca0.4 La1.6 Ni1 O4.03,1
H20 N4 O16 P4 Zn2,0
Cd2 Th1,0
C0.2 B0.8 Co3 Fe1 Nd1,1
Al1.338 Ca3 Fe0.662 O12 Si3,1
Cr0.1 Mn0.9 Sb1,1
Al24.412 Co8,1
Co1 Ga2 Hf1,0
S1.71 Ti1,1
Au4.97 Ba1 Ga2.03,1
B4 Gd0.7 Ho0.3 Rh4,1
Ca2 Fe1.33 O6 W0.67,1
Fe0.1 La1 Ni0.9 O3,1
Be2 Ce6 Cr2 S14,0
Ba6 Nd2 O17 Ti4,0
Fe0.1 Mn0.9 O3 Tb1,1
F1 Li24 N47 O1 Si24 Sr12,1
Nd1 Tl1,0
H14.25 Al13.25 Cl1 F4 O34 Si4.75,1
C4 H9 Mn0.33 N1 O6 Zn0.67,1
I18 Rh2 Te17,1
Cs2 F2 Mn2 O7 V2,0
