,formula,target
298,K0.979 Li0.021 O3 Ta1,2
299,Al1 B12 Li7 O24 Sr1,2
300,Ca3 In1 P3,0
301,Al9 Fe8 Gd2,1
302,Au3 Dy1,0
303,Ca0.1 Mn0.5 O3 Sr0.9 Ti0.5,1
304,Cu0.33 La1 Sn2,2
305,Au1 Br2.06 Cl1.94 K1,1
306,Li4.6 O4 Ru1,3
307,O3 Sm1 Ti1,0
308,Ca2 Co0.954 Fe1.0436 O4.939,3
309,As0.84 S2 Sb2.16,1
310,Fe0.92 Mg1.08 O6 Si2,1
311,Al2.68 Ga2.32 Gd3 O12,1
312,Ga2.5 Mn0.5 Zr1,1
313,Bi2.08 Pb5.92 S9,1
314,Li1.05 Mn1.5 Ni0.5 O4,1
315,Cu1 Li1 O4 V1,0
316,Hg3 Na2 S4,0
317,Bi1.6 Mn0.8 O6.4 Ti1.6,3
318,Ce1 Ga2 Ni3,1
319,Ni20 P13 Y6,0
320,K1 O12 P4 Pr1,0
321,Pd0.75 Si1.25 Sm1,1
322,Ga1 Mo2.14 S8 V1.86,1
323,Na1 S2 Tb1,0
324,Bi4 Ca1 Cu3 O14 Sr4,2
325,Li15 Pd4,0
326,Er2 F7 K1,0
327,Ca1.65 O4 Si1 Sr0.35,1
328,Au0.074 In1 Sb0.852,3
329,O7.14 Ta1.14 Y2.86,3
330,Eu1 Fe2,0
331,O7 Ta1 Tm3,3
332,Al1.65 Fe0.35 Tb1,1
333,B1 Nb1 Os1,0
334,Fe0.58 Ge4.08 Pr2.34,1
335,Al6 Mn6 Yb1,1
336,Gd2 Te5,0
337,Ba2 Ca1 Cu2 Hg1 O6.35,2
338,Li0.6 Na1.4 O6 V2,1
339,C0.67 Fe20 Nd3,2
340,Sb3 Zn3.89,2
341,Os1 Zr1,0
342,B4 Ca2 Fe0.327 Mg1.673 O10,1
343,Cl1 Er1 S1,0
344,As1 Cd1 Pt5,0
345,Rh3 Si2,2
346,Cu7 K1 P3,2
347,Pr1 Re4 Si2,0
348,B1 Dy1 Fe14 Tm1,1
349,Ge0.34 O2 Si0.66,1
350,Ba2 Nb6 O21 Te2,0
351,Mo3 Pu2 Si4,0
352,Cs1 Hg1,0
353,Ba0.62 Bi0.92 K0.38 Mg0.08 O3,1
354,Ni1 Si0.67 Zn0.33,1
355,Ho2 S4 Sr1,0
356,Dy3 Ni2,0
357,B4 F2 Nd4 O11,0
358,O3 V1 Yb1,0
359,Li1.5 S9 Sb5.5,1
360,Al1 Gd2 Ge2,0
361,Cd1 Cr1.92 Sb0.08 Se4,1
362,O2 V0.06 Zr0.94,1
363,Fe0.197 Ti0.801,1
364,Ni1 Y3,0
365,Nd2 Pd1.72 Sb4,2
366,Nd2.81 O7.39 U1.19,3
367,Ba0.85 Ca0.15 O3 Ti0.9 Zr0.1,1
368,S3.91 Zr2.57,2
369,Ba5 F1 O12 V3,2
370,Bi0.48 Na0.52 O3 Ti1,1
371,B1 Cu1.5 Er2 Fe12.5,1
372,Ce1 Ni0.3 Ru0.7 Sn1,1
373,F3 Na2 O4 S1 Sb1,0
374,Fe1 Nd1 Ni3 Si1,1
375,Ba1 Cu1 Mg1 O8 V2,1
376,Mg0.17 Mn2.83 O4,1
377,Fe2.249 O4 Ti0.751,1
378,Co9 La1 Si4,0
379,Mg1.52 Mn1.48 Na2 O16 S4,1
380,B2 Fe0.91 Ru5.09 Zr2,1
381,La0.01 Rh0.99,1
382,K1 O5 P1 Ti0.96 Zr0.04,3
383,Ba1 Fe1 O10 Si4,0
384,Cr0.84 In1.34 Ni0.73 S4,3
385,Bi1.5 O7 Pr0.5 Ru2,1
386,Al0.21 Nb0.79,1
387,Cl4 Co1 Cs2,0
388,Al1.9355 Fe0.1186 Mg0.9344 Mn0.006 O4 Si0.0006 Zn0.0039,1
389,Al2 Tm3,0
390,Au3 Li1,0
391,Cu0.961 In0.961 Se2,2
392,O4 Pr1 V1,0
393,Ce2 Co16 Cu1,1
394,Fe0.2 Mn0.8 O3 Ti1,1
395,B1 Cs1 O2,0
396,Cs1.6 K0.4 Mo3 O17 P3,1
397,As1 Ru1 Se1,1
398,Ca1 O7 Ti2.08 Zr0.92,3
399,Ca0.506 Fe1 Na0.494 O6 Si2,1
400,B6 Co20 In3,0
401,La4 O17 Sr1 Ti5,1
402,Hf2.58 Sb8 Ti2.42,1
403,Ba2.67 La0.33 Sb2.33 Se8 Sn0.67,3
404,Al43 Cr4 Er6,0
405,La1 P2 Pd2,0
406,Bi1 Li1 O3,0
407,Ba0.075 Bi0.925 Fe0.925 O3 Zr0.075,1
408,Nd4 O22 Si4 V5,0
409,La0.333 O12 P3 Zr2,2
410,Co40 Si31 Ta13,0
411,Pt3 Yb5,0
412,B0.3 Ce1 Co1 Si2.7,1
413,Eu0.7 Ru1 Sn3 Y0.3,1
414,Li1 Mn1.05 Ni0.5 O4 Ti0.45,1
415,Co5 La0.5 Nd0.5,1
416,Bi0.5 K0.125 Na0.375 O3 Ti1,1
417,Ce1 Sb0.29 Te0.71,1
418,Ba0.875 Bi0.125 Nb0.041625 O3 Ti0.875 Zn0.083375,1
419,Al1.975 Fe0.034 Mg0.982 Mn0.001 O4 Zn0.007,1
420,Fe0.95 Sb0.05,1
421,C4 Ga1 Li1 N8 Sr2,1
422,Ho2 Mg1 Se4,0
423,Cl6 K2 Mo1,0
424,C6 I6 O6 Re3,0
425,Bi2 O7 Pt2,0
426,Al7.82 Co4 Ga0.18 Si1.75 Th1.29,3
427,B5 Ca3 La3 O15,0
428,Al3 Y0.5 Yb0.5,1
429,O1 Zn0.985,2
430,O2 V0.05 Zr0.95,1
431,Fe0.065 Ga0.63 Se1,3
432,Ba1 Co1.8 Nd1 Ni0.2 O5.624,3
433,Ge3 O8 Zn2,0
434,As2 Sm1 Zn0.64,2
435,Al1 Cl7 Te1,0
