,formula,target
59318,K1 Na1 O4 S1,1
59319,C9 Bi2 Fe3 O9,2
59320,Ho6 O12 U1,0
59321,Ga3.14 In0.86 Pt2 Tb1,1
59322,C2 Ba11 O26 Pd11,3
59323,Al7.5 Dy1 Fe4.5,1
59324,Ba2 Cu2.9 La1 O6.74 Zn0.1,3
59325,Er2 O2 Sb1,2
59326,Ni7 Th2,0
59327,Ca0.06 La1.94 Nb0.9 O6.9 Yb1.1,3
59328,Ba2 Cu3 Dy1 O7,0
59329,Ni1.06 Sn1 Ti1,2
59330,C0.5 B0.5 Fe3 Mo3,1
59331,N1 O2 Sr1 Ta1,1
59332,Fe11.5 Mo0.5 Tb1,1
59333,Cd0.2 O4 Sn1 Zn1.8,1
59334,In1 Mg1 Ni2,0
59335,Ba6 Cl3 Fe5 O34 Si11,3
59336,C2 Ho1,0
59337,O1 S1 Th1,0
59338,As4 Na4 Sr2 Ti1,1
59339,Ni3 Si5 Tb2,0
59340,Nd1 Pt2,0
59341,Ga0.15 Pt0.85,1
59342,Ga1 Ni1 Tm1,0
59343,Ba1 In0.75 O2.59 Zr0.25,3
59344,Ba2 Ca0.1 Cu3 O6.92 Y0.9,3
59345,Ga4 Ho1 Ti2,0
59346,Al1.25 Nd1 Si0.75,1
59347,Bi2.26 O8.9 Si0.146 Sr0.74 Ta1.854,3
59348,Cl24 Hg23 P12 Zn6,2
59349,Al1 Er1 Ni4,1
59350,B9 Br9,2
59351,O52 P8 W12,0
59352,B1 Fe1,0
59353,Ba1 O3 Sn0.06 Ti0.94,1
59354,Dy1 In1.5 Sn1.5,1
59355,Ga2.164 O8 Si1.836 Sr1,1
59356,F5 N3 W1,0
59357,Ir1 Na1 O3,3
59358,Ni3 Sb0.4 Sn0.6,1
59359,Co2.67 S4,2
59360,Cu1 Lu3.33 Pb1.5 S7,3
59361,Cs3 O15 Si6 Yb1,0
59362,C1.44 Cr2.1 V0.9,3
59363,Ca10.59 Ce0.41 Sb9.67,3
59364,Cs1 O12 P3 Zr2,0
59365,Ca0.971 Fe0.037 Mg0.992 O6 Si2,1
59366,As2 Fe1 Li1 O7,0
59367,Ag1 Ge2 O12 P3,0
59368,Ca0.5 Mn1 Nd0.2 O3 Sr0.3,1
59369,Al3 Th1,0
59370,Hf0.5 N1 Zr0.5,1
59371,Pd0.9 Pt2.1 U1,1
59372,S1 Sm0.5 Yb0.5,1
59373,Cu3.5 Sn5.5 Tb2,1
59374,Al1.46 Fe0.54 Ti1,1
59375,Ge2 Li1 Yb1,0
59376,Ba1 O11 Ta2 V2,0
59377,Ca0.75 K6.5 Nb14 O47 Si4,3
59378,Ag0.62 Nb1 S2,2
59379,Ni0.9 O8 P2 Zn2.1,1
59380,La1.6 Nd0.4 Ni1 O4.17,1
59381,Ir1 Sb2,0
59382,Ba0.994 Bi0.974 K0.023 O2.95,3
59383,K1 Mn1 Sb1,0
59384,Al1 N2.9 Ti4,2
59385,Al71 Ba36 O384 Si121,3
59386,Co0.3 Fe1.7 P1,1
59387,Co4.4 Ga0.6 La1,1
59388,Al0.713 B40.3 Be12,3
59389,Fe1.8 Ga1 Ni1.2,1
59390,Ca0.57 Fe1.59 Mg0.02 Mn0.81 O8 P2 Zn0.01,1
59391,Al1 Mn3 Nd1 O12 Ti3,3
59392,Fe1 Mn1 O4 Si1,1
59393,Al7.3 Ge10.7 O1 Sr16,1
59394,Ag8 Ba1 S5,0
59395,Cl2 Hg3 Te2,0
59396,Ce3 Te4,0
59397,Cs2 Ho8 In1 S14,0
59398,Cr2 F2 La2 O7 Sr1,1
59399,As2 Cu1 Mn2 O2 Sr2,1
59400,Ba1.95 Ca0.2 Cu3 Nd0.05 O7 Y0.8,3
59401,Al1.1 Co3.9 Gd1,1
59402,Co1 Gd1 Ir1,1
59403,Ir1.14 Ta0.86,1
59404,Cl11 O1 P1 U2,0
59405,P1 Pb1 S4 Tl1,0
59406,As1 Cs3,0
59407,Fe1 Li11 O28 W7,1
59408,Cu3 Mn4 O12 Pr1,0
59409,Am0.2804 Pu0.7196,1
59410,Ba6 Na2 O17 Ru2 V2,0
59411,O13 Si3 Sm4.66,2
59412,Np1 O1 S1,0
59413,F4 K0.7 Rb0.3 Sb1,1
59414,Bi6 Br10 Pt1,0
59415,Mg0.43 Ni7 Pr1.57,1
59416,Ba2 Ca1.858 Cu3 O10 Tl2.018,3
59417,Ba2 Eu1 O6 Re1,0
59418,Ce3 Rh2 Si2,0
59419,Bi13 K6 O60 P15,0
59420,S3 Sr1 Ti1,0
59421,Ca1 O3 V1,2
59422,B8 Eu1 Na3 O15,0
59423,Ca1 Li1 Sb1,0
59424,Hf0.9 O2 Si0.1,1
59425,Ba1 Ce0.3 In0.7 O2.68,3
59426,C3 Nd2,0
59427,Hf1 Re2,0
59428,La0.0045 Mg0.9955,1
59429,In1 Lu1 Ni1,0
59430,P7 Pd9 Tm5,0
59431,Dy2 Sn5,0
59432,Cu0.1 O4 W1 Zn0.9,1
59433,Ba1 F4 Fe1,0
59434,Cd3 Th1,0
59435,C2 Ag1 N3,0
59436,Cu2.519937 Mn0.1479963 Se3.9999 Sn1.3333,1
59437,Cu1.98 Fe0.28 S4 Sn0.99 Zn0.72,3
59438,Au115.29 Ca24 Sn34.81,3
59439,La0.833 Mg0.241 O3 Ti0.75,3
59440,Hf0.33 W0.67,1
59441,S1 Y1,0
59442,Al1 Cu4 Tb1,1
59443,As3 Ni5 Sr1,0
59444,B2 Tm1,0
59445,Ga0.375 Ge0.625 S8 V4,1
59446,Be1 F4 K1 Na1,0
59447,Cs1 F3 Mn1,0
59448,Au4.78 Cd1.22 Eu1,1
59449,Nd1.62 O7.19 Zr2.38,3
59450,Cd20 Gd1 Ni2,0
59451,Gd1 Sb3 Sm3,1
59452,Si1 Zr1,0
59453,S11.05 Y6,2
59454,Ba1.96 Cu3 O7.05 Pr1.04,3
59455,Mn1 Nd1 Si1,0
59456,In5 Nd4 S13,0
59457,B12 Ba0.58 Ca0.42 Li7 O24 Sc1,3
59458,Al10.32 Mg0.6 O16.87 Pr0.53,3
59459,Ga1 Mn2 V1,0
59460,Ni10 P3 Sn1,0
59461,As1 Co0.85 Fe0.15 Nd1 O1,1
59462,Ba10.37 O108 Sm17.08 Ti36,3
59463,Al6 Fe6 Pr1,1
59464,Cs8.37 O3 Rb2.59,3
59465,In3 U1,0
59466,O4 Sr1 Tb2,0
59467,Ho1 O4 P0.48 V0.52,1
59468,Ga1 In1 O5 Zn2,0
59469,B4 Er1 V1,0
59470,O3 Sn1 Tl2,0
59471,La3.99999 Ni2.66666 O11.99997 Ta1.33333,1
59472,Gd2 Mn0.2 Mo1.8 O7,1
59473,B5 O8 Rb1,0
59474,Cr1 O7 P2 Sr1,0
59475,N9 Nb3.72 Ta4.28,1
59476,K2 Pt1 Se2,0
59477, Al2.06 Be2 Cs0.74 F2 K0.14 Na6.1 O39 Rb0.02 Si15.64 Zn0.3,1
59478,Al2 Ca3 O12 Sn2.2 Ti0.8,1
59479,Cu1 Ge4 O12 Yb2,0
59480,C1 Cl6 N9 Sb1,0
59481,S2 Sb1 Tl1,1
59482,Au2 In1.13 Li0.87,1
59483,Ge1 Pt1 Se1,0
59484,Ce0.207 Mn1 O4 Sr1.793,1
59485,F2 K2 O10 Si4 Th1,2
59486,B6 La0.5 Sr0.5,1
59487,Bi2 F1 Nb1 O5,3
59488,Bi3.25 La0.75 O11.55 Ti3,3
59489,Cu1 Na3 Se4 Sn1,0
59490,Cu0.5 Er1 Ga1.5,1
59491,Ba0.57 Bi0.47 Fe0.96 O2.68,3
59492,Cu1 Sm1 Sn1,0
59493,Al2 La0.8 Pr0.2,1
59494,I1 N1 U1,0
59495,Cr0.5 Mn0.5 Te1,1
59496,Fe1.95 Gd0.05 Ni0.5 O4 Zn0.5,1
59497,O8 Sn0.59 Te3 Ti0.41,1
59498,B8 Ni3 Ru18 Ti8,1
59499,Pt7 Sm5 Sn9,0
59500,Br1 Hf1 N1,0
59501,B1 Dy1 Fe14 Nd1,3
59502,Co1 Nb1 P1,0
59503,Bi2 Cu1.5 Pb1.5 S6,1
59504,Sb1 Sn1,1
59505,O3 Pb1 Ti0.7 Zr0.3,3
59506,C1.7 Ba4 Cu1.45 Li0.85 O9.7,3
59507,B2 Cs1 Li5 O6,0
59508,Al1 Au2,0
59509,Al1 Na3 Si1 Te4,3
59510,Ni0.5 O3 Ta1,2
59511,Li1.4 O8 P0.6 Si0.4 Ta2,3
59512,C1 Ce0.3 U0.7,1
59513,Cu1 Pb3 Se11 Yb5,2
59514,Al1 F5 Sm1,2
59515,Li1 Mn1 Se2,0
59516,Eu0.015 Ge4 O12 Y1.985 Zn1,1
59517,Hg0.022 Sb3 Zn3.79,3
59518,Cu5.384 Y0.808,3
59519,Al1 Ca2 Fe0.3 Mn0.7 O5,1
59520,Ca0.116 Fe0.66 Mg1.23 O6 Si2,1
59521,Cd1 Se2,0
59522,Li1 Mn0.7 O4 Ti1.3,1
59523,As2 Co2 La1,0
59524,C1 B2 Rh2 Sm1,0
59525,Ca0.38 F2 Mn1.3 Na3.56 O16 Si4 Ti0.46 Zr2.3,1
59526,Fe5.7 Ga6.3 Sm1,1
59527,Dy2 Ni2 Sn1,0
59528,Eu1 Mg1 Pt1,0
59529,Ba0.56 Ce0.886 O3 Pr0.44,3
59530,Cu0.19 Fe0.78 Sb1 V1,3
59531,B7 Cr3 I1 O13,0
59532,Ba2 Cu2.907 O6.33 Pr1,2
59533,Cd4 Cs10 S17 Sn4,2
59534,Ni0.6 Sb2 Tb1,2
59535,Cr0.25 Ge1 Mn0.75 Ni1,1
59536,Ge1 Mn1 Ni2,0
59537,B2 Ba2 Mg2 O10 Te1,0
59538,Al4.03 Fe8.97 La1,1
59539,Ba4 F4 Ga2 Mn1 S6,0
59540,Ba0.2 Bi0.8 Co0.8 O3 Ti0.2,1
59541,Li0.37 O2 V1,3
59542,Eu1 Si2 Zn2,0
59543,Bi0.665 Dy0.035 Fe0.85 Nb0.15 O3 Pb0.3,1
59544,Gd1 Ni0.63 Sb2,2
59545,Ag2.88 Cu7.02 Fe0.84 S12.97 Sb4 Zn1.26,3
59546,Al2 Mn1 Te4,0
59547,Li1.048 O4 V0.974 Zn0.982,1
59548,As5 La4 Zn1.67,2
59549,B2 Ba1 O6 Zn2,0
59550,Al1 P3 Si1,0
59551,Ce4 P1.77 Si1.23,1
59552,Li6 O7 Si2,0
59553,Bi1 Na1 Se2,1
59554,Al12 I21 La24,0
59555,Eu1 Ge0.6 Ni2 P1.4,1
59556,Ca1 Ge2 Zn2,0
59557,Cu8 Fe3 S12 Sn1.94,2
59558,Ba6 Cl2 Mn0.5 O12 Ru2.5,1
59559,Cu1 Ni2 Sb1,0
59560,Cu1 Na1 O2,0
59561,Ba1 Na2,0
59562,Hf1.25 Sc0.75 Si1,1
59563,B1 Pd3 Yb1,0
59564,K1.14 Mg0.57 O4 Si1.43,3
59565,In21 Pd10 Pr4,0
59566,Fe3 N1.239,2
59567,Ba2 Cu1 In1 O4.58,2
59568,Cd1 Ga2 S1.6 Se2.4,1
59569,O1 Zn0.98,2
59570,C1 Co2,0
59571,Fe1 O3 Sm0.5 Tm0.5,1
59572,B1 Fe1 Ni2 O5,1
59573,Fe1 Nb2 O6,1
59574,Ca0.1 Mn1 Nd0.2 O3 Sr0.7,1
59575,Cr0.14 Nb0.24 S2 Ta0.26 Ti0.19 V0.2,1
59576,B1 Lu5 Si3,0
59577,Na4 O13 Sc2 Si4,0
59578,Fe1 Mo0.2 O6 Sr2 W0.8,1
59579,Al12 O30 Sr8 Te2,3
59580,Mo1 Ni3 O10 Te2,0
59581,Fe1 Mn1 Y1,1
59582,Co1 Sn3,0
59583,Be1 Cu4 Sm1,1
59584,Al1 Cu4 Sm1,1
59585,Br1 O12 P3 Sr5,0
59586,Ge1.75 Pr1,2
59587,B1.38 Cs0.86 O5.77 Si1.62,3
59588,Ge0.4 Ni1 P0.6,1
59589,Ba2 Cu3 O6.6 Y1,2
59590,Al1 Cd1 F6 Na1,0
59591,B6 Gd2 Re3,0
59592,Al1 Fe4 Li8 Nd18 O39,3
59593,Dy0.1 K3 O7 Si2 Y0.9,1
59594,Hf0.3 Zn2 Zr0.7,1
59595,Au0.46 Eu1 In1.53,1
59596,Ba1 O17 V9.89,3
59597,Ag1 La1 Pb1,1
59598,Ca2 Ge7 O16,0
59599,Li1.2 Mg0.2 O4 Ti1.6,1
59600,Co1 Ho7 I12,0
59601,Bi1 La1.9 O2.2 Sr0.1,3
59602,Mn0.391 Re0.609,1
59603,Eu5.74 Ge12 Li4 Sr2.26,1
59604,Ca0.9 Mg0.1 O7 Th0.1 Ti2 Zr0.9,3
59605,Cs1 Fe2 Se3,0
59606,Cd0.8 Se2 Zn1.2,1
59607,Ge0.35 Pb0.65 Se0.35 Te0.65,1
59608,Ba0.774 K0.226 S3 V1,3
59609,Ba3 Ge3.84 Si0.16,1
59610,La4.03 Mg0.97 Ni19,1
59611,I1 Li1 O4,0
59612,Ba2 Ge4 S10,0
59613,Al14 Gd3 Ni7,0
59614,Ga17 Ni15 Y5,0
59615,C2.9 W0.2 Y1.8,3
59616,O3 Pb0.998 Ti1,2
59617,Fe1 Gd0.1 Mo1 O6 Sr1.9,1
59618,Os2 Y1,0
59619,Ag1 Rb3 Se12 Ta2,0
59620,O7 Pr3 Sb1,0
59621,La6 Mn1 Sb14.66,2
59622,Ba1 Ca1.625 Mg1 O8 Si2 Sr0.375,1
59623,C15 Al3 O18,0
59624,Mo2 O8 Zr1,0
59625,La0.63 Mn0.69 O3 Pb0.37 Ti0.31,1
59626,Ba0.15 Fe0.2 La0.85 Mn0.8 O3,1
59627,As1 Mn0.5 Mo0.5,1
59628,Fe1.76 In0.24 O3,1
59629,O2 Pb0.97,2
59630,Cd1 Ni2 Pr2,0
59631,Hg1 Na7 S12 Sb5,1
59632,La3 O7 Os1,0
59633,Fe0.7 Mn0.3 O2 Sr1,1
59634,Bi0.9 Ca0.1 Fe0.6 Mn0.4 O3,1
59635,Cu2.5 Ga0.5 O6.92 Sr2 Y1,3
59636,Os0.2 V0.8,1
59637,O2 U0.8 Zr0.2,1
59638,Fe1.3 Mn1.7 O4,1
59639,Dy4 Ge6 Ir7,0
59640,Ga0.33 K1 O18 W5.66,3
59641,Cr1 F1 K1 O4 P1,0
59642,Br2 Na4 O1,0
59643,Ni3 Pb2 S1.66 Se0.34,1
59644,Cs1 In1 Te2,0
59645,Ba2 In1 Li1 S4,0
59646,Fe1 Pd1,1
59647,Na0.78 O3 W1,2
59648,F6 Li1 Mn1 Ti1,0
59649,C5 Ca2 Ce3 F3 O15,0
59650,O7 Rb2 Si2 Zr1,0
59651,B2 O8 Si2 Sr1,0
59652,Al1.8 Li2 Mg0.2,1
59653,Ir1 N6 Na3 O12,0
59654,Ag1 S8 Tb5,1
59655,Fe1.17 Li1.77 S2,3
59656,C2 Sc1,2
59657,Bi3.8 Co8 O28.875 Sr11.4,2
59658,Ge1 Lu1 Pd2,0
59659,C2 B2 Dy1,0
59660,Nb2 Pd0.84 Se5,2
59661,Ce1 Cu2 Eu1 O10 Ru0.95 Sn0.05 Sr2,3
59662,Ba2 Li3 N4 Nb1,0
59663,Hf1 S1 Se1,1
59664,Al0.9 B1 Mn0.1 O4 Pb1,1
59665,Li1 Mn1 Nb1 O4,1
59666,Ba2 Cu1 O6 Os1,0
59667,B1 Fe14 Ho2,0
59668,Ce0.91 Co5.36,3
59669,B1 Rh3 U1,0
59670,Ga0.68 Mo2.64 W0.68,1
59671,C2 Fe14 Ga3 Tb2,2
59672,I2 Pr1.126,2
59673,Cd0.66 Cu0.6 In6 Se10,2
59674,Nb1 O14 Rb3 Ti5,3
59675,Eu1.78 O6.67 Sn1.78 Zn0.44,3
59676,Mg1 Pd1 Sb1,0
59677,Cu2 F6 Hg2 S1,0
59678,Dy2 S4 Sr1,0
59679,Ag2 Eu4 Si6,0
59680,Ag1 Pt5 Si1,0
59681,F1 Na3 Nb12 O31,1
59682, Ag0.06 As3.96 Cs0.79 Cu1.02 Hg4.56 S12 Sb0.04 Tl0.21 Zn0.36,1
59683,Cr0.04 O1 Zn0.96,1
59684,Ca1 Cr1 O2.5,2
59685,Al92 Ca29 Cs34 O384 Si100,3
59686,Mo8 Nd1 O14,0
59687,Rh3 S4,0
59688,In4 Lu5 Ni2,0
59689,Ca0.9 Cd0.1 O4 W1,3
59690,Al0.75 Mn0.25 Ni3,1
59691,Cu5.04 Ge2.52 Hg0.44 Se8,1
59692,Ce3 Li1 S7 Si1,0
59693,Hf0.01 O4 Si1 Zr0.99,1
59694,C1 Cu1 Na5 O5,2
59695,Ba2 Fe3 O8.068 Y1,2
59696,Bi5 Br2 O8.5 Te1,2
59697,Cd9 Cu4,0
59698,Ca0.85 Cu1 O2,2
59699,In1 O1 Pr1 S2,0
59700,Fe1.4 O4 Ti0.24 Zn1.3 Zr0.06,1
59701,Mn1.8 Ti0.96 Zr0.24,1
59702,Br2 Cu4 O12 Pb1 Se4,0
59703,Bi1 La1 O6 W1,3
59704,Ca1 Ni8 Sn4 Sr1,1
59705,Bi1 Br1 Cd1 Se2,0
59706,Cm1 Te1,0
59707,Co0.99 Li1.01 O2,1
59708,Al0.3 Fe1.7 Zr1,1
59709,Al2 Pt1 Y1,0
59710,Al6 Ca3 O16 S1 Sr1,3
59711,Br6 Cs2 Po1,0
59712,Ba1.6 Cu3 Eu1 O7.02 Pr0.4,3
59713,Ca0.5 O3 Ti1 Y0.5,1
59714,Al7 Fe6 La1,1
59715,La0.25 Na0.25 Nb1 O3,3
59716,Ba8 Mn1 Nb6 O24,0
59717,B2 Hf1 Na2 O6,0
59718,Mo0.24 Rh0.76,1
59719,Ca2 Cr1 Nb1 O6,1
59720,Ba2 Ca0.1 Cu4 O8 Y0.9,1
59721,Cl20 Cs3 Mn1 Zr7,0
59722,P1 Ta2,0
59723,C60 Rb6,0
59724,Au4 In6 Rb1,0
59725,Cs1 Ga0.34 O6 Te1.66,1
59726,Er4.2 Ir4 Lu0.8 Si10,1
59727,B2 Fe0.87 Ir1.92 Ru3.22 Zr2,1
59728,Al1.8 Ga4.2 N2 Na8 O28 Si6,3
59729,B2 Cu2.04 Ni0.96 O6,1
59730,Cd1 Po1,0
59731,In0.06 Sn0.91 Te1,3
59732,Cs2 Ge2 Se5,0
59733,Ba2 Li3 Mo8 O32 Y3,1
59734,Ge5 La10 Si1,1
59735,Al2 Dy1 Ni1,0
59736,Mo2.625 Ta0.375 Te4,1
59737,Cs2 Fe4 Na10 O12,2
59738,Mo1 O3,2
59739,Cu1 Hg1 I1 S1,0
59740,Ca0.5 Fe7.9 Li0.1 Mg0.2 Mn4.5 Na2.5 O48 P12,3
59741,Fe0.81 Ni0.19 Ti2,1
59742,Ce1 Mg1 Tl1,0
59743,Cl1 Cr1.5 O12 Pb5 Si1.5,1
59744,Ca1 Mn0.8 O3 Ru0.2,1
59745,C0.08 Al0.74 Ge0.18 Nb3,1
59746,Cl1 F1 Sm1,0
59747,Ba5 Nb8.5 Nd1 Ni1.5 O30,1
59748,As3 Br1 Hg2,0
59749,Cl1 Cs3 Mo2 O7,0
59750,Er1.08 Nd3.92 Si4,1
59751,La5 Pb3 Sb1,0
59752,Ba1 Co2 O5.744 Pr1,2
59753,Ag1 Sb0.8 Se2 Sn0.2,1
59754,La0.77 Mg0.23 Ni3.8,1
59755,Al1 Co1 K1 O8 P2,1
59756,Co3 Ga2 Ho1,0
59757,In4 Se2.75,2
59758,Ba1 O2.805 Pb0.8 Tl0.2,3
59759,Ge4 In6 La11,0
59760,Ge1 S3 Y4,1
59761,La1 Na2 O7 Ta1 Ti1,1
59762,Ge0.85 Te1 Yb0.15,1
59763,O2 S1 Yb2,0
59764,O49 W18 Zn0.36,2
59765,B4.17 Na8 Si41.83,1
59766,C1 Ce2 Fe20 Si2,3
59767,Au0.87 Ga0.13,1
59768,Ba8 Cu5 Ge28.7 Si12.3,1
59769,Fe1 Ni1 P1,1
59770,Cu0.95 Li1 Mn0.05 O4 V1,1
59771,K5 Rb1 S17 Sn5 Zn4,2
59772,B2 Be2 Ca1 F1 Na1 O6,0
59773,C0.39 Ge9 Nd15,2
59774,Fe2 Nb0.3 Zr0.7,1
59775,F7 Hf1 K1 Pd1,0
59776,C1.484 B13.777,3
59777,Ca1 Cl2 Co2 O8 Te3,0
59778,Ce3 Rh3 Si2,0
59779,Fe2 Ni0.5 O4 Sn0.2 Zn0.3,1
59780,Er3 Ge1 Li1 S7,0
59781,Bi2.25 O9 Si0.25 Sr0.75 Ta1.75,0
59782,Mg1 Ni9 Pr2,1
59783,K0.04 Mn1 Na0.06 O3 Pr0.9,1
59784,Au3 K1 Sn3,0
59785,Co1 Ga1 Hf1,1
59786,As4 Rh6 Sr1,0
59787,Fe2.34 Mg0.03 Mn0.63 O8 P2,1
59788,As4 Li6.45 Mn3,3
59789,Ba3 Cu2 K2 S10 Sb2,0
59790,Cl8 Li6 V1,0
59791,Ga2 O7 Sr2 Zn2,1
59792,Au1 In5 Te8,3
59793,B4 N2 O9 Sr6,2
59794,B305.51 Si8.443,3
59795,Eu1 Ni4 Zn1,1
59796,Au2 Hf1 In1,0
59797,Li3 N1,0
59798,Ba2 Cu3 O8 Y1,1
59799,Co2 In0.376 Sc0.624,1
59800,B10 Co29 Si4 Tb3,0
59801,Ba1.4 Cu3 Nd1 O6.94 Sr0.6,3
59802,Ag2 I10 Tl6,0
59803,Ce1 Rh1 Si3,0
59804,Mg1 S4 Sc2,0
59805,Co1 Nd0.85 O3 Sr0.15,1
59806,Er3 Os4 Si13,0
59807,Hg0.5 In0.5 Te1,1
59808,Ca1 Ni3 O14 P4,0
59809,La10 O0.945 Se14.055,3
59810,C1 Co1 Dy1,2
59811,Al0.5 Mo2 Se4,2
59812,Lu13 Pd28.68 Zn24.32,1
59813,Cr0.333 In1 O3.333 Ti0.667,1
59814,Ni0.92 Sb0.08,1
59815,Na2 O4 Te1,0
59816,In4 Mo14.52 O26 Ti1.48,3
59817,Ge1 Nd1 Si1,0
59818,C4 Cd1 K2 N4,0
59819,O2 Sn0.1 Th0.9,1
59820,Bi11.64 Rb0.36 Se20 Sn2.36,3
59821,Al4.2 Ca2.1 Fe4.82 Mg1.19 O20 Si1.6 Ti0.09,1
59822,Ca2 O5 U1,0
59823,Bi2 Ca1 Nb2 O9,1
59824,Li10.2 P1.8 S12 Si0.24 Sn0.96,3
59825,Ce14 Cu50.92,2
59826,Rh2 S2 Se1,1
59827,Li0.987 Ni1.013 O2,1
59828,Ce3 Zn22,0
59829,Ba1 Co2 Dy1 O5.5,2
59830,Ce2 N7 P3,0
59831,Bi1.74 O6.624 Ti2,2
59832,Al25.66 Au7.08 Ca3 Nb1,3
59833,Ni0.33 Pt2.67 Ti1,1
59834,K2 O10 P2 Ti2,2
59835,Ca3.9 Cu17 O29 Sr6.1,1
59836,Ga0.5 La0.7 O6 Pr0.3 Sb1.5,1
59837,Ca2 Si1,0
59838,As2.9 Co0.99 Fe0.003 S0.1,3
59839,Al0.95 Mg0.05,1
59840,Al1.8 Co3.2 Y1,1
59841,Bi4 Ce3 Pt3,0
59842,Al0.19 Ga0.05 La2.88 Li5.55 O12 Zr2,3
59843,Fe2 Pr0.5 Y0.5,1
59844,Ba2 Cu3 O6.52 Y1,2
59845,Ba2 Mn3 O2 Sb2,0
59846,Al0.304 Mg3.479 O12 Si3.455,3
59847,B2 Cs2 Li2 O15 P4,0
59848,Cl5 N6 S8 Sb1,0
59849,Rh2 Sn1 V1,0
59850,Ce1 Ni9 Si2,0
59851,Ba1 Co3.07 O7 Y1 Zn0.93,1
59852,Co0.125 Li1.065 Mg0.093 Mn0.405 Ni0.312 O2,1
59853,C2.7 Ti0.2 Y1.8,3
59854,Al0.5 Cu0.5 Nd1.5 O4 Sr0.5,1
59855,Ba0.98 Eu0.02 O6 P2,1
59856,Ba1 Mn2 O3,0
59857,Dy3 Ga1 Ni1 Se7,0
59858,Ag1 Mg0.5 Zn0.5,1
59859,Cl0.25 Cu1 I0.75,1
59860,In0.667 Te1,2
59861,Ho1 Si3,0
59862,In1 Ir1 Li2,0
59863,N1 Na2.96 O9 P3 Ti1,2
59864,Ge0.8 Se0.2 Sn0.2 Te0.8,1
59865,Bi1 Cl6 Cs1 K2,0
59866,Bi3 In5,0
59867,Fe1.1 Re0.9,1
59868,Li2 Te1,0
59869,Ge2 Ho1 Pd2,0
59870,Ce7 Rh3,0
59871,As4 Ca1 Fe4 Rb1,0
59872,Al1.5 La9.83 O26 Si4.5,3
59873,B1 Cl12 Sc7,0
59874,Fe1 Mg1 Na4 O12 P3,1
59875,Fe1 La1 Si2,0
59876,Al1.23 Ni1.29 Ti2.48,1
59877,Ba2 Fe1 S3,0
59878,As0.53 P0.47,1
59879,Ni1 Si1,0
59880,Ag0.7 Cd0.25 In0.05,1
59881,Ga2 Th3,0
59882,As2 In1 O7 Tl1,0
59883,Cu4 Ni1 Yb1,0
59884,La4.45 Li2.63 O24 Ti8,3
59885,P12 Ru19 Y5,0
59886,La1 N2 Nd1,1
59887,Fe1.33 Na1.67 O12 P3 Zn1.67,3
59888,C2.5 Lu2 Mn17,2
59889,Fe2 Sc0.5 Zr0.5,1
59890,B2 Ba2 Ca1 O14 Si4,0
59891,Pr0.6 Sn3 Y0.4,1
59892,Ba8 Ge40 Zn4.6,2
59893,Ba0.9 Ca0.1 Fe0.03 O2.86 Ti0.97,3
59894,La1 O3 Ru1,0
59895,B13 Co1 Tb4,0
59896,Co0.6 Fe2.4 O4.082,1
59897,Ba1 I6 U1,0
59898,Na2 O4 Os1,0
59899,Fe1 K1.65 Na0.35 O12 P3 Ti1,1
59900,Co1.94 O6 Te1 Zn1.06,1
59901,Mg1 Se4 Tm2,0
59902,Ca0.3 La0.175 Mn1 O3 Pr0.525,1
59903,C60 S16,0
59904,Ag0.26 S8 V6,2
59905,Ag0.4 As2.86 Pb2.1 S18 Sb7.13 Tl1.51,3
59906,Al0.5 Mn0.5 Pd1,1
59907,Ce1 Cu9 In4,1
59908,Pd16 S7,0
59909,O3 Pb1 S1,0
59910,C1 Al1 Fe3,0
59911,Nb7 P4,0
59912,Ag2 Li1 Si1,1
59913,Bi4 Th3,0
59914,Co1.58 Fe0.42 O5 Sr2,3
59915,Al2 Mg2 N4 Sr1,1
59916,  Al1.397 Cr0.438 Fe0.397 Mg0.734 Mn0.005 Ni0.006 O4 Si0.003 Ti0.012 V0.006 Zn0.003,1
59917,Ca0.6 La0.4 O3 Ti1,1
59918,F2 O24 P6 Pb5 Sr5,3
59919,C0.5 Fe3 Ga1,2
59920,Ag1 Dy1 Sb2,0
59921,O6 Sr2.67 U1.33,1
59922,Cd1 Ce2 S4,1
59923,Br0.5 Cl0.5 Li6 P1 S5,3
59924,Co0.5 Ge2 Mn1.5 Pr1,1
59925,Al8 Mn4 Pr1,1
59926,F6 K1.2 Mn1 Rb0.8,1
59927,Cl3 Na21 O40 S10 Zn1,3
59928,P1 Rh1 S1,1
59929,Bi1 Mg2 O6 V1,0
59930,Br0.795 Cl0.205 Na1 O3,1
59931,La1 Rh1 Sn2,0
59932,O12 P3 Rb2 Ti0.8 Yb1.2,1
59933,Al1 Li1 O12 P4,0
59934,As2 Cu1 O4,0
59935,Ba2 Co0.24 Cu2.76 O6.93 Y1,3
59936,F4 O2 Rb2 W1,1
59937,Cr1 O12 P2 Pb4,3
59938,Ir0.75 Te2,2
59939,Ga0.73 La1 Si0.27,1
59940,La2 Li1.62 Nb0.17 O10 Ti2.83,3
59941,Cr1.45 Si0.55 Ta1,1
59942,Pd2 Yb5,0
59943,P1 Pt1 Yb1,0
59944,Ba0.4 In1 O6 Sr1.6 Ta1,1
